,n_submodels,n_features,smooth,bootstrap,average_accuracy,standard_deviation
114,50,15,0.0,False,0.9967399007795888,0.0019331228486159828
115,50,15,0.5,True,0.5274273564847627,0.17980472980049145
116,50,15,0.5,False,0.9928419560595321,0.003096534695245001
117,50,15,1.0,True,0.5283486888731396,0.1596157218211696
118,50,15,1.0,False,0.9834160170092133,0.011838760038452783
119,50,15,5.0,True,0.6157335223245924,0.12487098681929201
120,50,15,5.0,False,0.9627214741318213,0.008278351098766182
121,50,20,0.0,True,0.5399716513111269,0.11947107943590603
122,50,20,0.0,False,0.9966690290574061,0.001346562721474127
123,50,20,0.5,True,0.48036853295535076,0.16753805305651645
124,50,20,0.5,False,0.9864635010630758,0.0056737229084693076
125,50,20,1.0,True,0.43656980864635014,0.13761164321984282
126,50,20,1.0,False,0.9819277108433735,0.0049024588534433075
127,50,20,5.0,True,0.5739192062367116,0.14955639578736565
128,50,20,5.0,False,0.9510985116938342,0.007351553496748367
129,100,5,0.0,True,0.6048901488306165,0.17616157028223753
130,100,5,0.0,False,0.9310418143160879,0.017904194563020802
131,100,5,0.5,True,0.5011339475549256,0.15576451779731001
132,100,5,0.5,False,0.9191353649893692,0.016031584595204002
133,100,5,1.0,True,0.5410347271438696,0.10186226728101733
134,100,5,1.0,False,0.9282778171509568,0.01124071092439792
135,100,5,5.0,True,0.6627923458540043,0.11791648978547585
136,100,5,5.0,False,0.9093550673281363,0.01690390861258763
137,100,10,0.0,True,0.45145287030474834,0.1640948985576895
138,100,10,0.0,False,0.9794472005669738,0.012614370211927425
139,100,10,0.5,True,0.5701630049610207,0.15630717758093704
140,100,10,0.5,False,0.9715804394046774,0.01941018497068656
141,100,10,1.0,True,0.5038979447200568,0.13110502400658827
142,100,10,1.0,False,0.9715095676824946,0.01889445961764879
143,100,10,5.0,True,0.6161587526576895,0.12548746542388386
144,100,10,5.0,False,0.9530120481927711,0.014802013465951613
145,100,15,0.0,True,0.4784549964564139,0.12538745984941901
146,100,15,0.0,False,0.9976612331679661,0.0014541661607854917
147,100,15,0.5,True,0.540396881644224,0.1406732276240439
148,100,15,0.5,False,0.9936924167257265,0.0010245806020411873
149,100,15,1.0,True,0.5290574060949681,0.14461487357530672
150,100,15,1.0,False,0.9885896527285614,0.004257615392168842
151,100,15,5.0,True,0.6221828490432317,0.11841366875171971
152,100,15,5.0,False,0.960666194188519,0.008594200880880148
153,100,20,0.0,True,0.49900779588944016,0.11255154689425768
154,100,20,0.0,False,0.9963146704464918,0.0013372049797387073
155,100,20,0.5,True,0.5768958185683912,0.13854180016539897
156,100,20,0.5,False,0.9887313961729269,0.004327819883989212
157,100,20,1.0,True,0.5212615166548547,0.1980382800837716
158,100,20,1.0,False,0.9827072997873849,0.005518900732510771
159,100,20,5.0,True,0.6334514528703048,0.12351125539656962
160,100,20,5.0,False,0.9518781006378456,0.005709024060424197
